method,month,coverage,avg_width,median_neff,avg_drift
conformal_PID,2007-04,0.8998482549317147,3.2831419322205364,720.0,
conformal_PID,2007-05,0.9018817204301075,3.6595947132616486,720.0,
conformal_PID,2007-06,0.9013888888888889,3.7918767518453578,720.0,
conformal_PID,2007-07,0.9004037685060565,3.1864688100300516,720.0,
conformal_PID,2007-08,0.8938172043010753,3.0634460168089612,720.0,
conformal_PID,2007-09,0.9027777777777778,3.501167777777778,720.0,
conformal_PID,2007-10,0.9032258064516129,4.080381698801137,720.0,
conformal_PID,2007-11,0.8972222222222223,4.167887662835249,720.0,
conformal_PID,2007-12,0.9018817204301075,4.752243458781362,720.0,
conformal_PID,2008-01,0.8991935483870968,4.368942383512545,720.0,
conformal_PID,2008-02,0.9008620689655172,4.325208549256446,720.0,
conformal_PID,2008-03,0.8951612903225806,3.7924749893688112,720.0,
conformal_PID,2008-04,0.9,4.38682699309479,720.0,
conformal_PID,2008-05,1.0,6.9765096774193545,720.0,
exp_weighted,2007-01,0.9032258064516129,4.123974193548388,395.6989433954429,
exp_weighted,2007-02,0.9017857142857143,4.2788957341269835,398.4153164879005,
exp_weighted,2007-03,0.896505376344086,3.9904854383087294,398.4153164879005,
exp_weighted,2007-04,0.9347496206373292,3.5259533362482105,398.4153164879005,
exp_weighted,2007-05,0.885752688172043,3.0439312724014336,398.4153164879005,
exp_weighted,2007-06,0.9055555555555556,3.1541007068872746,398.4153164879005,
exp_weighted,2007-07,0.8990578734858681,2.6375965873577116,398.4153164879005,
exp_weighted,2007-08,0.8978494623655914,2.697850537634409,398.4153164879005,
exp_weighted,2007-09,0.8986111111111111,3.0970837037037033,398.4153164879005,
exp_weighted,2007-10,0.8951612903225806,3.4310690860215054,398.4153164879005,
exp_weighted,2007-11,0.8930555555555556,3.789084444444444,398.4153164879005,
exp_weighted,2007-12,0.8924731182795699,4.276247580645161,398.4153164879005,
exp_weighted,2008-01,0.9099462365591398,3.914810663082437,398.4153164879005,
exp_weighted,2008-02,0.9051724137931034,4.093491924800311,398.4153164879005,
exp_weighted,2008-03,0.8938172043010753,3.4488463565397,398.4153164879005,
exp_weighted,2008-04,0.8958333333333334,3.7342760342121784,398.4153164879005,
exp_weighted,2008-05,0.967741935483871,3.7259204301075264,398.4153164879005,
rolling,2007-01,0.9032258064516129,4.43281935483871,720.0,
rolling,2007-02,0.8988095238095238,4.3079801587301585,720.0,
rolling,2007-03,0.8991935483870968,4.102921115059838,720.0,
rolling,2007-04,0.9484066767830046,3.9900382123230713,720.0,
rolling,2007-05,0.8884408602150538,2.9509309139784947,720.0,
rolling,2007-06,0.9083333333333333,3.23930021724509,720.0,
rolling,2007-07,0.9071332436069987,2.7443758282033985,720.0,
rolling,2007-08,0.885752688172043,2.5551482974910393,720.0,
rolling,2007-09,0.8958333333333334,3.116724722222222,720.0,
rolling,2007-10,0.8844086021505376,3.30651353046595,720.0,
rolling,2007-11,0.8861111111111111,3.725851944444444,720.0,
rolling,2007-12,0.8844086021505376,4.179332974910395,720.0,
rolling,2008-01,0.9233870967741935,4.10953046594982,720.0,
rolling,2008-02,0.9066091954022989,4.056563409961686,720.0,
rolling,2008-03,0.896505376344086,3.567852956989247,720.0,
rolling,2008-04,0.8986111111111111,3.7154770841180165,720.0,
rolling,2008-05,0.967741935483871,3.712195698924731,720.0,
spectral_only,2007-01,1.0,4.675318279569893,1078.9155821708348,
spectral_only,2007-02,0.9821428571428571,4.5707348590585655,1428.9681188061377,
spectral_only,2007-03,0.9731182795698925,4.191143637992831,1386.3428369442054,
spectral_only,2007-04,0.9833080424886191,4.083812792880842,1389.7587710249093,
spectral_only,2007-05,0.9637096774193549,3.517844534050179,1432.304903804895,
spectral_only,2007-06,0.9583333333333334,3.0906298681732585,1431.9415105662101,
spectral_only,2007-07,0.9569313593539703,2.986945850265648,1429.0910663319369,
spectral_only,2007-08,0.946236559139785,2.6180589393110987,1428.4058813305664,
spectral_only,2007-09,0.9277777777777778,2.8832541666666662,1435.4258862135175,
spectral_only,2007-10,0.9408602150537635,3.1985055555555557,1434.1640786339358,
spectral_only,2007-11,0.9472222222222222,3.5099751851851853,1436.38701526987,
spectral_only,2007-12,0.9489247311827957,3.955004749103942,1438.4510445437177,
spectral_only,2008-01,0.9717741935483871,4.14997347670251,1438.8643451813473,
spectral_only,2008-02,0.9770114942528736,4.09492816091954,1436.1850799409328,
spectral_only,2008-03,0.9663978494623656,3.795682437275986,1434.6812999433341,
spectral_only,2008-04,0.9652777777777778,3.630318782172002,1436.3886414044955,
spectral_only,2008-05,1.0,3.6509967924184434,1422.8007079367517,
